object_type,artefact_type,regular_cleaning,conservation_cleaning
graphic document genres,documents,15,180
plaques (flat objects),objects,15,180
navigation charts,maps,15,365
beads (pierced objects),accessories,7,180
crucifixes,objects,15,180
45 rpm records,objects,15,180
tongs (devices),objects,15,180
military uniforms ,clothes,15,180
yardage,objects,15,365
headdresses,clothes,7,180
lace (needlework),accessories,15,180
wine bottles,bottles,7,180
newspapers,documents,15,180
scripts (writing),documents,15,180
ink wash paintings,paintings,15,180
terracottas (sculptural works),sculptures,15,365
ceremonial objects,objects,15,180
hanging lamps,lamps,15,180
pillars,objects,15,180
compilation manuscripts,documents,7,180
invitations,cards,15,90
textile art (visual works) ,visual works,15,180
view cameras,cameras,15,180
self-portraits,portaits,7,90
seals (artifacts),objects,15,180
identity cards,cards,15,180
memoirs,documents,15,180
dishes (vessels for food),plates,15,180
quilts,clothes,15,180
patterns (guides),documents,7,180
greeting cards,cards,15,90
portraits ,portaits,15,180
multimedia works ,visual works,15,180
shrines (structures),arts,15,180
ale glass,vessels,15,180
altar tables,tables,7,365
ceiling fixtures (lighting fixtures) ,arts,15,180
violins ,objects,15,180
collages (visual works) ,visual works,15,180
lithographic engravings (prints),prints,7,180
document (object genre),objects,15,365
watches,objects,15,180
telephones,telephones,7,180
boxes (container),containers,15,180
needle cases,cases,15,180
plans (maps),maps,15,180
folders (containers),containers,15,90
awards,objects,15,180
chromogenic colour prints,prints,15,180
robes (main garments) ,garments,7,180
goldwork (visual works),visual works,15,180
coats (garments),garments,15,180
screen prints ,prints,15,365
developing  tanks,objects,7,180
mirrors ,mirrors,15,180
pillowcases,coverings,15,180
armchairs,chairs,15,180
mezzotints (prints),prints,15,365
charcoal drawings,arts,15,180
notes,documents,7,180
film (performing arts) ,visual works,15,180
case furniture,objects,15,365
ornaments (object genre),objects,15,180
Qur'ans,documents,15,180
wall hangings,hangings,15,180
tobacco boxes,boxes,15,180
hammers (tools),tools,15,180
cards (information artefacts),cards,7,365
graduates,objects,15,180
chalices (liturgical vessels),vessels,15,180
film reels,video,15,180
pens (drawing and writing implements),objects,15,180
crosses (visual works),visual works,15,365
blouses (main garments),garments,7,180
marriage certificates,certificates,15,180
miniatures (toys),toys,15,180
pouches,objects,15,180
photogravures (prints) ,prints,15,90
inkwells,objects,15,180
chess sets,objects,7,180
photographic prints ,prints,15,180
armbands,accessories,15,180
terbangs,accessories,15,365
travel guidebooks,books,15,180
carriages (vehicles) ,objects,7,180
loudspeakers,objects,15,180
toothbrushes,objects,15,180
descriptions (documents),documents,15,90
manuscripts (documents),documents,7,180
tombstones (sepulchral monuments),objects,15,180
nautical charts,maps,15,365
topographic maps,maps,15,180
tables (documents),documents,15,180
prints (visual works) ,visual works,15,180
wedding dresses,clothes,15,180
line drawings (drawings) ,arts,15,365
supplements (document genre),documents,7,180
clippings (information artefacts),documents,15,180
silks (costume by material) ,textile,15,180
acrylic painting (visual works),visual works,7,180
krises,objects,15,180
photographs,photographs,15,365
installations (exhibitions) ,visual works,7,180
portraits,portaits,15,180
programmes (documents),documents,15,180
weeklies (publications),documents,15,180
lamps (lighting devices),lamps,15,365
scores,objects,15,180
wedding dresses ,clothes,15,180
projections (visual works),visual works,7,180
playing cards,cards,15,180
warrants,documents,15,365
leaves (plant components),objects,15,180
charts (graphic documents),maps,15,180
depictions (visual works),visual works,7,180
Buddhas (visual works) ,visual works,15,90
paybooks,books,15,180
speeches (documents),documents,15,180
covers (closures),documents,7,180
saris (garments),garments,15,365
colour transparencies,photographs,15,180
utensils,vessels,15,180
tables (support furniture),tables,7,180
letters (correspondance),documents,15,180
covers (closure),coverings,7,90
black-and-white slides,slides,15,180
gelatin silver prints ,prints,15,180
double doors,objects,15,180
pamphlets,documents,15,180
dining chairs,chairs,15,90
womenswear,clothes,7,180
banners,prints,15,180
calligraphy (visual works),visual works,15,180
medals,objects,15,90
chests (case furniture),containers,7,180
camera components,accessories,15,180
violins,objects,15,180
armlets,accessories,15,180
cases (containers),containers,7,180
canes (walking sticks),objects,15,365
fliers (printed matter),prints,15,180
bowls (vessels),vessels,7,180
coffeepots,vessels,15,180
Ceramics (object genre) ,objects,7,180
trousers,clothes,15,365
vests (garments),clothes,7,180
sprinkler flasks,vessels,15,180
safes (storage containers),containers,7,180
templates (shaping tools),tools,15,180
prayer rugs,objects,15,180
vestments,objects,7,180
multi-channel video installations ,video,15,365
memorandums,documents,15,180
censers,objects,7,180
pins (jewellery),accessories,15,180
condiment vessels,vessels,7,180
telescopes,objects,15,180
multimedia works,visual works,7,365
radio receivers,objects,15,180
steel engravings (visual works),visual works,7,180
suitcases,cases,15,180
motion-picture cameras,cameras,7,180
beepers,objects,15,180
aquatints,visual works,15,365
stands (support objects),objects,15,180
copperwork (visual works),visual works,15,180
single-channel video,video,15,180
censers ,objects,15,365
notes (documents),documents,15,180
tea services ,objects,7,180
colour prints (photographs),photographs,15,90
mortars (grinding tools),tools,15,180
screens (furniture),objects,15,90
paperbacks,documents,15,180
currencies (systems of money),currencies,15,180
 orange,objects,15,180
covers (overlying objects),coverings,7,90
document genres,documents,15,180
religious objects ,objects,15,180
cloth,clothes,15,180
fabric art (visual works) ,visual works,15,180
newsletters,documents,7,365
cigar cases,cases,15,180
passports,passports,15,180
diagrams,articles,15,90
canvas painting ,paintings,15,180
pendants (jewellery),accessories,15,180
toys (recreational artifacts),toys,15,90
watercolours (paintings) ,paintings,15,180
earthenware,vessels,15,180
single-sitter portraits ,portaits,7,180
folk costume ,clothes,15,90
group portraits ,portaits,15,180
monthlies (publications),documents,15,180
membership cards,cards,15,180
pins (fasteners),accessories,15,180
orders (military records),documents,7,90
paintings (visual works) ,visual works,15,180
timers,objects,15,180
neckties,accessories,15,90
sketches,arts,15,180
biographies (documents),documents,15,180
postcards,cards,7,180
folk costume,clothes,15,180
captions ,documents,15,90
adaptations (derivative objects),objects,15,180
dailies (publications),documents,15,180
illustrated books,books,15,180
black-and-white prints (photographs),photographs,7,90
doorways,objects,15,180
jars ,vessels,15,180
rosaries,objects,15,180
ablution ewers,objects,15,90
calculators,objects,15,180
wallets,accessories,15,180
drinking vessels ,vessels,15,90
cups (drinking vessels) ,vessels,7,180
leaflets (printed works),documents,15,180
concert programmes,arts,15,90
compilations (arranged works) ,documents,15,180
receipts (financial records),documents,15,180
photograph albums,photographs,15,90
performance art,arts,15,180
shawls,clothes,7,180
cartes-de-visite (card photographs),photographs,15,180
figurines,visual works,7,180
drawings (visual works),visual works,7,90
surveys (documents),documents,15,180
cups (drinking vessels),vessels,15,90
